epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,52.3889,1.12626,3.95452,1.48379,0.00287,0.63333,0.07288,0.02364,1.68139,4.33619,1.55846,0,0,0
2,102.631,1.2551,3.91973,1.64451,0.74101,0.19545,0.16408,0.08139,1.67439,4.02602,1.68433,1.41485e-05,1.41485e-05,1.41485e-05
3,153.463,1.20514,3.31724,1.54971,1,0.31124,0.40021,0.18602,1.56282,3.55267,1.65972,2.80141e-05,2.80141e-05,2.80141e-05
4,204.388,0.93795,1.86477,1.31781,0.84143,0.45301,0.59909,0.25135,1.65021,2.95238,1.63628,4.15968e-05,4.15968e-05,4.15968e-05
5,253.575,0.9111,1.75952,1.33314,0.64867,0.33333,0.37332,0.21942,1.74612,3.44164,1.69628,5.48965e-05,5.48965e-05,5.48965e-05
6,300.396,1.29455,2.11111,1.63592,0.64597,0.33333,0.37111,0.22078,1.80275,3.81672,1.67677,6.79132e-05,6.79132e-05,6.79132e-05
7,349.164,1.04597,1.53584,1.34435,0.92482,0.5,0.6449,0.26657,1.88271,3.22204,1.77011,8.0647e-05,8.0647e-05,8.0647e-05
8,397.076,1.00447,1.9244,1.37133,0.96157,0.5,0.70329,0.36644,1.862,2.57529,1.78107,9.30979e-05,9.30979e-05,9.30979e-05
9,445.315,0.786,1.52382,1.15775,0.93892,0.5,0.57697,0.28987,2.09054,2.60642,2.14194,0.000105266,0.000105266,0.000105266
10,493.157,0.85246,1.28868,1.23099,0.95102,0.5,0.56283,0.28375,2.11592,2.89532,2.05561,0.000117151,0.000117151,0.000117151
11,540.961,0.7389,1.03998,1.10903,0.88466,0.63333,0.65925,0.29535,2.12874,2.25259,2.15401,0.000128753,0.000128753,0.000128753
12,588.634,0.77341,1.25016,1.18411,0.83228,0.56306,0.56649,0.19296,1.90474,2.75904,1.76193,0.000140072,0.000140072,0.000140072
13,636.047,0.71685,1.56476,1.16019,0.20233,0.23333,0.14715,0.07917,1.83192,4.05931,1.73315,0.000151108,0.000151108,0.000151108
14,684.4,0.63303,1.40081,1.06059,0.25776,0.23333,0.07279,0.04793,1.88836,13.841,1.6786,0.000161861,0.000161861,0.000161861
15,732.297,0.80236,1.38341,1.24902,0.20929,0.23333,0.0904,0.06166,1.97896,14.7174,1.81136,0.000172332,0.000172332,0.000172332
16,779.492,0.82888,1.24894,1.12999,0.48673,0.4,0.27038,0.18187,1.90258,13.7308,1.93265,0.000182519,0.000182519,0.000182519
17,826.469,0.72947,0.94392,1.14161,0.42993,0.23333,0.2257,0.18405,2.01379,33.1365,1.91089,0.000192423,0.000192423,0.000192423
18,872.323,0.74802,1.18932,1.31228,0.42993,0.23333,0.2257,0.18405,2.01379,33.1365,1.91089,0.000202045,0.000202045,0.000202045
19,918.104,0.7239,1.03926,1.20139,0.28599,0.4,0.1518,0.12126,2.06409,27.9938,2.26113,0.000211383,0.000211383,0.000211383
20,965.417,0.83465,1.3853,1.15639,0.28599,0.4,0.1518,0.12126,2.06409,27.9938,2.26113,0.000220439,0.000220439,0.000220439
21,1013.32,0.96794,1.8884,1.42556,0.37937,0.56667,0.24549,0.20047,2.20183,18.3352,2.34631,0.000229212,0.000229212,0.000229212
22,1059.01,0.87876,1.2541,1.18135,0.37937,0.56667,0.24549,0.20047,2.20183,18.3352,2.34631,0.000237701,0.000237701,0.000237701
23,1106.08,0.79569,1.13355,1.16528,0.39708,0.55153,0.42454,0.13405,2.34861,8.62266,2.72038,0.000245908,0.000245908,0.000245908
24,1153.71,0.65485,0.96938,1.14576,0.39708,0.55153,0.42454,0.13405,2.34861,8.62266,2.72038,0.000253832,0.000253832,0.000253832
