epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.93412,1.31229,3.96869,1.92441,0.19032,0.33333,0.42778,0.24198,0.88057,3.63791,1.42035,0,0,0
2,18.0706,1.45752,3.8287,1.87355,0.20752,0.42681,0.47544,0.2745,0.90607,3.72854,1.44201,1.41485e-05,1.41485e-05,1.41485e-05
3,28.0541,1.29516,3.12671,1.78119,0.24544,0.62217,0.50553,0.3031,0.83269,4.03125,1.38502,2.80141e-05,2.80141e-05,2.80141e-05
4,37.6202,1.56327,3.04646,1.99421,0.25178,0.66667,0.54717,0.35429,0.79763,5.15348,1.37782,4.15968e-05,4.15968e-05,4.15968e-05
5,47.3671,1.24075,2.83437,1.76066,0.25002,0.66667,0.54637,0.33333,0.82233,8.4762,1.41315,5.48965e-05,5.48965e-05,5.48965e-05
6,57.6509,1.11557,2.30069,1.50781,0.35195,0.66667,0.55292,0.282,1.0786,14.2112,1.61674,6.79132e-05,6.79132e-05,6.79132e-05
7,68.0208,1.4788,3.05568,1.8674,0.22,0.66667,0.38992,0.25053,1.2548,18.4739,1.7839,8.0647e-05,8.0647e-05,8.0647e-05
8,77.5633,0.81788,1.82729,1.34455,0.53387,0.66667,0.4475,0.29089,1.25889,16.7792,1.69028,9.30979e-05,9.30979e-05,9.30979e-05
9,87.9839,0.8908,1.87715,1.45217,0.40588,0.83333,0.6122,0.46179,1.04851,10.6646,1.4361,0.000105266,0.000105266,0.000105266
10,98.8612,0.70914,2.1251,1.1515,0.24284,0.83333,0.56375,0.48707,0.81157,6.63266,1.23667,0.000117151,0.000117151,0.000117151
11,107.965,0.84358,1.92729,1.35489,0.21031,1,0.38681,0.31813,0.78805,4.96931,1.21313,0.000128753,0.000128753,0.000128753
12,116.899,0.8654,2.70791,1.54399,0.13726,0.83333,0.23019,0.17681,0.75413,5.0286,1.17873,0.000140072,0.000140072,0.000140072
13,125.912,0.70832,1.64745,1.12998,0.16682,0.66667,0.21728,0.17441,0.52979,4.91384,1.06903,0.000151108,0.000151108,0.000151108
14,135.127,1.15804,2.05704,1.43329,0.21945,0.92715,0.28183,0.25365,0.66906,5.44076,1.1352,0.000161861,0.000161861,0.000161861
15,144.152,0.64816,1.38023,1.17512,0.25885,0.9321,0.56383,0.50745,0.62242,7.06272,1.31737,0.000172332,0.000172332,0.000172332
