epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1148.6,1.27765,4.02021,1.64303,0.29234,0.23301,0.04663,0.01875,1.78691,23.886,2.84745,0.00015827,0.00015827,0.00015827
2,2016.58,1.48744,3.43745,1.83739,0.144,0.35001,0.01526,0.00803,2.18937,inf,3.50745,0.000321654,0.000321654,0.000321654
3,3041.87,1.57713,3.41803,1.88965,0.00069,0.20897,0.00066,0.00018,3.35378,inf,20.792,0.000481739,0.000481739,0.000481739
4,4052.56,1.75293,3.27412,2.01851,0.12665,0.00745,0.00075,0.00019,nan,nan,nan,0.000638525,0.000638525,0.000638525
5,5099.26,1.7662,3.26534,2.04932,0.00864,0.07734,0.00788,0.00241,3.6298,inf,46.6405,0.000792013,0.000792013,0.000792013
6,6122.05,1.78685,3.23677,2.01814,0.00798,0.09594,0.00392,0.00146,3.60057,inf,19.8277,0.000791767,0.000791767,0.000791767
7,7253.36,1.72285,3.18872,1.95308,0.00121,0.38239,0.00125,0.00036,3.27894,inf,6.696,0.00078352,0.00078352,0.00078352
8,8262.54,1.71988,3.06219,1.99396,0.02708,0.20681,0.0239,0.00954,2.67264,9.39408,3.6217,0.000775273,0.000775273,0.000775273
9,9129.94,1.74813,3.0207,2.02446,0.04467,0.21315,0.02997,0.0101,2.84147,7.08508,3.71391,0.000767026,0.000767026,0.000767026
10,10202.8,1.67943,2.99166,1.95623,0.05535,0.30431,0.04862,0.02167,1.98503,13.6336,3.09212,0.00075878,0.00075878,0.00075878
11,11327.3,1.61265,2.95045,1.89383,0.30569,0.12991,0.04857,0.02311,2.03856,4.61411,2.9487,0.000750533,0.000750533,0.000750533
12,12127.3,1.66743,2.94005,1.9485,0.03925,0.20993,0.04066,0.01549,2.17141,4.52776,3.28555,0.000742286,0.000742286,0.000742286
13,13235.5,1.59265,2.88003,1.85989,0.07574,0.15432,0.0483,0.01873,2.10585,3.88423,3.04238,0.00073404,0.00073404,0.00073404
14,14360.3,1.62975,2.84551,1.88784,0.07472,0.25143,0.08642,0.03622,2.14321,3.67151,2.89382,0.000725793,0.000725793,0.000725793
15,15313.6,1.54143,2.77495,1.83956,0.16305,0.10126,0.03749,0.01291,2.08841,30.6241,2.67241,0.000717546,0.000717546,0.000717546
16,16440.9,1.5985,2.72971,1.84599,0.09704,0.27133,0.09187,0.04456,1.98629,3.23849,2.61356,0.000709299,0.000709299,0.000709299
17,17234.2,1.5761,2.71595,1.80766,0.10056,0.22826,0.13759,0.05488,1.85913,3.20394,2.4796,0.000701053,0.000701053,0.000701053
18,18218.2,1.58389,2.71975,1.82848,0.0999,0.24452,0.10024,0.04433,2.11545,3.09602,2.64391,0.000692806,0.000692806,0.000692806
