epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1052.02,1.31196,3.87254,1.65454,0.16962,0.2609,0.03893,0.01523,2.13887,21.9984,3.33512,0.00019992,0.00019992,0.00019992
2,1970.46,1.54584,3.44238,1.87911,0.13353,0.20316,0.00567,0.00179,2.7698,inf,5.40598,0.000387966,0.000387966,0.000387966
3,2801.03,1.71077,3.31944,1.97318,0.00096,0.27668,0.00116,0.00044,2.77119,inf,97.9441,0.000555394,0.000555394,0.000555394
4,3857.91,1.72666,3.1592,2.01312,0.01709,0.13802,0.01918,0.0061,2.45682,60.7949,3.75127,0.000702207,0.000702207,0.000702207
5,4844.73,1.75031,3.61506,2.01056,0.00042,0.00532,0.00017,3e-05,4.15293,23.3238,5.08693,0.000668066,0.000668066,0.000668066
6,5799.73,1.70129,3.10748,1.94772,0.38222,0.05152,0.00581,0.00186,3.5297,7.24532,5.99412,0.000626832,0.000626832,0.000626832
7,6666.92,1.62855,2.95733,1.91506,0.16263,0.09951,0.02917,0.01231,2.08986,17.2118,3.24266,0.000585599,0.000585599,0.000585599
8,7667.88,1.62377,2.86484,1.89319,0.66244,0.0602,0.07691,0.03649,2.13359,5.23548,3.10955,0.000544365,0.000544365,0.000544365
9,8759.79,1.59261,2.90385,1.86745,0.08129,0.20616,0.06302,0.02591,2.02802,3.71684,2.67432,0.000503132,0.000503132,0.000503132
10,9772.4,1.57412,2.75837,1.85144,0.05857,0.32038,0.07933,0.03273,1.82121,3.46021,2.55896,0.000461898,0.000461898,0.000461898
11,10700.8,1.59866,2.93819,2.08024,0.08605,0.30386,0.1123,0.05025,1.85837,3.09322,2.61234,0.000420665,0.000420665,0.000420665
12,11729.5,1.56434,2.79091,2.07806,0.0932,0.30426,0.13165,0.06926,1.88927,3.14589,2.61365,0.000379431,0.000379431,0.000379431
13,12801.3,1.56793,2.74112,2.02647,0.1244,0.31916,0.1299,0.07126,1.80136,3.27193,2.42642,0.000338198,0.000338198,0.000338198
14,13867.3,1.49621,2.66418,1.99312,0.10596,0.33985,0.13276,0.06904,1.74857,3.02407,2.39418,0.000296964,0.000296964,0.000296964
15,14996.9,1.5061,2.61671,1.98582,0.12105,0.32698,0.14065,0.07768,1.67474,2.95762,2.2849,0.000255731,0.000255731,0.000255731
16,15977.2,1.44608,2.47655,1.91213,0.1073,0.30313,0.13235,0.06716,1.68058,2.94332,2.22788,0.000214497,0.000214497,0.000214497
17,17085.9,1.40127,2.42704,1.87083,0.13214,0.33136,0.14495,0.0801,1.62683,2.86169,2.17396,0.000173264,0.000173264,0.000173264
18,18088.3,1.36184,2.36077,1.84,0.1449,0.37076,0.16073,0.09216,1.54538,2.82096,2.10731,0.000132031,0.000132031,0.000132031
19,19063.3,1.33348,2.24633,1.75073,0.12846,0.36996,0.15752,0.08999,1.61109,2.80216,2.14076,9.0797e-05,9.0797e-05,9.0797e-05
20,20005.5,1.24262,2.22999,1.70378,0.14772,0.36615,0.17119,0.09749,1.53177,2.78858,2.06902,4.95635e-05,4.95635e-05,4.95635e-05
